WO-MRR NUM,IS REWORK,PROD_CDE,HOURS BLAST TO PREP,PREP DAY,PREP SHIFT,PREP H,PREP QTY,PREP ASSOCIATE,PREP QTY IN THE SHIFT,PREPED IN THE SHIFT SO FAR,HOURS PREP TO FUR,FURN,HAS SCRAP AT SINTER,ASSOCIATE AXPERIENCE,Prep week,Has MRR
9663703-,0,PIN_GRIP_P,480,2,1,21,10,152072361,99,69,24,FURN0007,0,2,1,0
9663704-,0,PIN_GRIP_P,120,2,2,11,10,152051910,99,89,0,FURN0007,0,2,1,0
9663728-,0,PINN_PORO,432,4,1,18,10,152061442,131,71,24,FURN0004,1,2,1,0
9663741-,0,PINN_PORO,48,5,1,20,10,152852517,66,56,24,FURN0006,0,2,1,0
9663742-,0,PINN_PORO,48,4,1,22,10,152852517,64,16,48,FURN0006,0,2,1,0
9663743-,0,PINN_PORO,528,1,2,7,10,152059403,70,30,144,FURN0006,0,2,1,0
9663748-,0,PINN_PORO,264,7,2,5,10,152859275,40,20,0,FURN0006,0,1,1,1
9663755-,0,PINN_PORO,144,2,2,10,10,152834263,107,87,48,FURN0006,0,2,1,0
9663758-,0,DX_EP_OP10,0,2,2,7,10,152868303,30,11,0,FURN0004,0,1,1,0
9663759-,0,DX_EP_OP10,96,6,2,3,12,152868303,44,8,216,FURN0004,0,1,1,0
9663760-,0,DX_EP_OP10,0,2,2,11,9,152868303,30,29,144,FURN0004,0,1,1,0
9663761-,0,DX_EP_OP10,120,7,1,16,12,152867385,36,33,24,FURN0004,1,1,1,1
9663763-,0,DX_EP_OP10,72,6,2,8,12,152868303,44,24,48,FURN0004,0,1,1,0
9663767-,0,DX_EP_OP10,48,6,2,11,12,152868303,44,36,48,FURN0004,0,1,1,0
9663769-,0,DX_EP_OP10,0,7,2,7,12,152867385,36,14,24,FURN0004,0,1,1,1
9663785-,0,DX_EP_OP10,144,1,1,21,9,152867385,33,24,24,FURN0004,0,1,1,0
9663789-1430489,1,DX_EP_OP10,432,7,2,10,2,152868303,38,24,24,FURN0004,0,1,1,1
9663790-,0,DX_EP_OP10,168,1,1,19,12,152867385,33,12,24,FURN0004,0,1,1,0
9663792-,0,DX_EP_OP10,168,1,1,15,12,152867385,33,0,168,FURN0004,0,1,1,0
9663804-,0,DX_EP_OP10,0,7,2,11,12,152868303,38,26,24,FURN0004,0,1,1,0
9663807-,0,DX_EP_OP10,48,7,2,3,12,152868303,38,0,24,FURN0004,0,1,1,0
9663810-,0,DX_EP_OP10,48,7,2,7,12,152868303,38,12,216,FURN0004,1,1,1,0
9664489-,0,PIN_GRIP_P,24,5,2,8,10,152065732,90,50,0,FURN0007,0,2,1,0
9664492-,0,PIN_GRIP_P,120,2,2,8,10,152051910,99,69,0,FURN0007,0,2,1,0
9664520-,0,PIN_GRIP_P,480,2,1,20,10,152072361,99,59,24,FURN0007,0,2,1,0
9664522-,0,PIN_GRIP_P,528,4,2,12,10,152827348,110,0,24,FURN0007,0,2,1,0
9664525-,0,PIN_GRIP_P,120,5,2,6,10,152054287,90,40,96,FURN0007,0,2,1,0
9664536-,0,PIN_GRIP_P,528,5,1,16,10,152827348,71,22,24,FURN0007,0,2,1,0
9664563-,0,PINN_PORO,120,4,1,19,10,152061442,131,91,120,FURN0006,0,2,1,0
9664565-,0,PINN_PORO,48,4,1,15,10,152061442,131,41,96,FURN0004,0,2,1,0
9664566-,0,PINN_PORO,120,5,1,15,10,152061442,93,33,48,FURN0006,0,2,1,0
9664567-,0,PINN_PORO,120,5,1,17,10,152061442,93,63,24,FURN0006,0,2,1,0
9664576-,0,PINN_PORO,24,6,2,3,10,152859275,60,10,72,FURN0006,1,0,1,0
9664578-,0,PINN_PORO,144,5,2,8,10,152861369,93,71,48,FURN0006,0,2,1,0
9664589-,0,PINN_PORO,432,1,2,4,10,152834263,99,30,120,FURN0006,0,2,1,0
9664592-,0,PINN_PORO,384,5,2,1,10,152872541,67,14,48,FURN0006,0,2,1,0
9664594-,0,PINN_PORO,0,2,2,6,10,152061442,131,71,24,FURN0004,0,2,1,1
9664594-1431280,1,PINN_PORO,72,5,2,11,1,152061442,93,3,24,FURN0006,0,2,1,1
9664600-,0,PINN_PORO,120,1,2,3,10,152061442,119,39,48,FURN0006,0,2,1,0
9664601-,0,PINN_PORO,120,5,1,20,10,152834263,70,40,48,FURN0006,0,2,1,0
9664606-,0,PINN_PORO,48,1,2,6,10,152061442,119,69,72,FURN0006,0,2,1,0
9664724-,0,PIN_GRIP_P,336,2,2,7,10,152827348,115,66,24,FURN0007,0,2,1,0
9664726-,0,PIN_GRIP_P,120,1,2,1,10,152051910,100,10,0,FURN0007,1,2,1,0
9664732-1430330,1,PIN_GRIP_P,336,2,2,1,4,152827348,115,10,0,FURN0007,0,2,1,1
