WO-MRR NUM,IS REWORK,PROD_CDE,HOURS BLAST TO PREP,PREP DAY,PREP SHIFT,PREP H,PREP QTY,PREP ASSOCIATE,PREP QTY IN THE SHIFT,PREPED IN THE SHIFT SO FAR,HOURS PREP TO FUR,FURN,HAS SCRAP AT SINTER,ASSOCIATE AXPERIENCE,Prep week,Has MRR
9672687-,0,PINN_PORO,24,2,1,15,10,152859275,65,10,144,FURN0006,1,1,2,1
9672691-,0,PIN_GRIP_P,0,3,2,7,10,152051910,115,54,0,FURN0007,1,2,2,0
9672699-,0,PIN_GRIP_P,24,5,2,0,10,152065732,70,0,216,FURN0007,0,2,7,0
9672701-,0,PIN_GRIP_P,216,5,2,9,10,152051910,109,79,48,FURN0007,1,2,2,0
9672707-,0,PIN_GRIP_P,0,3,2,10,10,152827348,116,96,0,FURN0007,1,2,2,0
9672712-,0,GUIMST_P,0,1,1,19,9,152872563,28,10,24,FURN0006,0,1,1,0
9672778-,0,GUIMST_P,24,2,1,15,9,152872563,27,0,24,FURN0004,1,1,1,1
9672779-,0,GUIMST_P,48,3,1,18,9,152872563,27,9,144,FURN0004,1,2,1,0
9672781-,0,GUIMST_P,0,1,1,22,9,152872563,28,19,72,FURN0006,1,1,1,0
9672798-,0,SUMMIT_P,,4,1,22,10,152863741,40,30,72,FURN0004,1,1,1,1
9672799-,0,SUMMIT_P,,3,1,18,10,152863741,30,20,24,FURN0004,1,1,1,0
9672803-,0,SUMMIT_P,,3,1,17,10,152863741,30,10,24,FURN0004,1,1,1,0
9672809-,0,SUMMIT_P,,5,2,10,10,152806978,50,30,48,FURN0004,1,2,1,0
9677016-,0,PIN_GRIP_P,0,3,1,20,10,152065732,60,20,24,FURN0007,1,2,2,1
9677023-,0,PIN_GRIP_P,24,5,2,9,10,152824994,100,60,24,FURN0007,0,2,1,0
9677024-,0,PIN_GRIP_P,24,4,1,15,10,152827348,110,20,24,FURN0007,0,2,1,0
9677028-,0,PIN_GRIP_P,24,4,2,7,10,152051910,104,73,0,FURN0007,0,2,2,0
9677032-,0,PIN_GRIP_P,24,4,2,3,10,152054287,92,20,24,FURN0007,0,2,1,0
